Date,Store_ID,Product_ID,Category,Region,Inventory Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Discount,Weather_Condition,Holiday_Promotion,Competitor_Pricing,Seasonality
27-02-2024,JIOMART_PAT_01,PROD_00276,Books,East,34,16,27,26,473.67,0.27,clear,FALSE,632.33,Low
11-04-2022,FLIPKART_PUN_02,PROD_00455,Clothes,West,1156,658,1235,934,1399.85,0.23,Mist,Christmas Sale,1594.32,Peak
09-10-2024,AMAZON_MUM_02,PROD_00429,Sports,West,326,128,233,130,2010.47,0.25,Wet,TRUE,2742.35,High
20-03-2025,FLIPKART_BLR_01,PROD_00301,groc,South,239,130,115,110,285.8,0.34,Foggy,Onam Festival,304.25,Normal
08-09-2022,AMAZON_MUM_02,PROD_00356,automotive,West,1330,490,1290,383,4332.71,0.07,stormy,Onam Festival,4771.05,Average
28-01-2024,DMART_BLR_03,PROD_00392,BEAUTY,South,673,1028,641,1030,947.9,0.05,RAINY,Onam Festival,840.73,Low
20-08-2024,MEESHO_KOL_01,PROD_00210,Beauty,East,448,153,489,153,,0.33,Overcast,0,689.38,Normal
13-07-2023,AMAZON_DEL_01,PROD_00375,Cosmetics,North,441,141,353,75,966.64,0.14,,TRUE,799.42,Low
26-10-2022,Spencer_CHN_01,PROD_00335,Grocery,South,1079,502,845,449,406.58,0.23,cloudy,1,429.97,High
04-30-2023,MEESHO_HYD_02,PROD_00027,groc,South,228,197,151,105,,0.38,Overcast,FALSE,349.01,Medium
06-08-2023,MEESHO_HYD_02,PROD_00010,AUTO,South,1005,458,974,632,2643.87,0.11,stormy,TRUE,2810.21,Normal
04-23-2022,AMAZON_DEL_01,PROD_00273,Groceries,North,88,71,69,69,368.52,0.1,SUNNY,NO,467.84,Average
04-04-2023,BIGBAZAAR_NGP_01,PROD_00213,Beauty,West,173,148,169,163,858.09,0.15,Wet,TRUE,821.86,Medium
31-08-2023,DMART_DEL_02,PROD_00470,groc,North,340,2,156,266,304.42,0.6,Stormy,TRUE,387.23,Medium
02-01-2022,DMART_DEL_02,PROD_00447,FURNITURE,North,591,423,323,422,12383.34,0.11,STORM,Christmas Sale,12721.39,Off-season
18-12-2024,DMART_BLR_03,PROD_00299,Home & Kitchen,South,219,68,146,99,1934.74,0.43,RAINY,FALSE,2564.66,High
10-10-2023,Spencer_CHN_01,PROD_00500,Electrnics,South,303,260,302,385,11330.27,0.11,Wet,FALSE,11297.45,High
03-03-2024,FLIPKART_BLR_01,PROD_00485,toys,South,486,231,296,224,1064.21,0.19,Sunny,NO,1026.65,Medium
30-11-2022,JIOMART_PAT_01,PROD_00061,Book,East,39,15,35,45,365.58,0.12,Storm,Republic Day,314.9,Festive
02-14-2023,JIOMART_PAT_01,PROD_00134,Furnishings,East,181,74,201,92,13555.45,0.43,STORM,none,13908.16,Low
01-12-2023,DMART_DEL_02,PROD_00180,Cosmetics,North,1952,591,982,520,842.04,0.37,Thunderstorm,TRUE,1098.55,Off-season
13-12-2023,AMAZON_MUM_02,PROD_00454,Fitness,West,2159,735,875,1062,2103.86,0.35,Cloudy,1,2414.66,High
10-06-2022,DMART_MUM_01,PROD_00368,groc,West,1420,751,1617,1063,445.53,0.02,rainy,Eid Special,435.18,High
18-08-2024,DMART_BLR_03,PROD_00285,AUTO,South,8526,70,0,63,3643.78,0.41,,Christmas Sale,3656.92,Medium
20-08-2023,DMART_MUM_01,PROD_00174,Kids,West,1124,676,899,511,,0.39,rain,Navratri,1447.19,Normal
15-06-2022,AMAZON_DEL_01,PROD_00484,FURNITURE,North,1043,510,1218,508,15190.78,0.18,sunny,TRUE,14737.35,Slow
20-08-2023,FLIPKART_PUN_02,PROD_00230,automotive,West,68,38,41,75,4155.19,,Clear,none,5570.67,Average
04-02-2024,MEESHO_KOL_01,PROD_00155,automotive,East,308,116,193,130,,0.07,FOG,FALSE,3740.23,Slow
17-06-2023,BIGBAZAAR_NGP_01,PROD_00232,HOME & KITCHEN,West,306,197,329,289,2703.41,0.14,Cloudy,TRUE,2082.89,Low
26-08-2024,DMART_DEL_02,PROD_00128,HOME & KITCHEN,North,1106,333,934,333,2186.44,0.11,Rain,Diwali Sale,1801.33,Off-season
10-10-2024,DMART_DEL_02,PROD_00034,apparel,North,887,288,452,329,1209.43,0.17,Foggy,none,1354.26,High
07-10-2022,FLIPKART_PUN_02,PROD_00367,Home,West,721,302,527,324,3044.48,,CLOUDY,Holi Offer,3635.05,High
07-02-2025,MEESHO_KOL_01,PROD_00110,Electrnics,East,394,182,359,153,12490.97,0.1,Fair,FALSE,12599.37,Low
07-12-2023,BIGBAZAAR_NGP_01,PROD_00258,Apparel,West,2894,1258,1997,1335,1525.74,0.08,Stormy,Eid Special,1832.04,Peak
25-02-2024,MEESHO_KOL_01,PROD_00432,sports,East,678,209,244,169,1497.83,0.41,Drizzle,NO,1568.01,Low
11-18-2022,FLIPKART_BLR_01,PROD_00373,Fitness,South,555,355,322,299,2098.8,0.08,Cloudy,Republic Day,1658.26,Festive
29-11-2024,DMART_BLR_03,PROD_00287,Furnishings,South,2025,618,1811,699,11199.83,,overcast,TRUE,12135.16,Peak
26-02-2024,Spencer_CHN_01,PROD_00491,Toys,South,,143,206,78,859.81,0.14,Fair,Republic Day,767.42,Off-season
19-05-2023,BIGBAZAAR_NGP_01,PROD_00436,Electrnics,West,361,4,175,255,14962.37,0.62,,NO,16137.06,Normal
17-06-2024,DMART_MUM_01,PROD_00026,sports,West,,413,337,252,1843.69,0.25,windy,TRUE,1949.28,Off-season
12-08-2024,DMART_MUM_01,PROD_00391,clothing,West,1418,490,601,633,1127.16,0.34,Sunny,Diwali Sale,1289.94,Medium
21-12-2022,LOCALMART_JDP_01,PROD_00495,sports,West,1341,447,839,336,1797.21,0.34,stormy,NO,1890.58,Peak
08-06-2024,AMAZON_DEL_01,PROD_00476,Clothes,North,26867,21682,18507,25855,1100.44,0.01,STORM,New Year Sale,1315.73,Low
08-08-2022,DMART_MUM_01,PROD_00094,Home&Kitchen,West,581,295,381,255,3055.5,0.4,Overcast,FALSE,2947.14,Medium
03-12-2024,DMART_BLR_03,PROD_00050,Books,South,222,0,256,99,22.5,0.44,Cloudy,none,590.88,Peak
08-23-2024,FLIPKART_PUN_02,PROD_00305,home,West,1500,498,891,366,2643.09,0.32,Sunny,New Year Sale,3062.68,Medium
15-12-2024,DMART_CHN_04,PROD_00256,Fitness,South,10483,943,0,1419,2074.93,0.13,Mist,TRUE,2649.07,High
13-09-2023,AMAZON_DEL_01,PROD_00316,BEAUTY,North,247,97,164,92,677.75,0.28,SUN,none,735.37,Average
05-03-2022,BIGBAZAAR_NGP_01,PROD_00421,Sports,West,1027,449,1173,603,,0.11,SUNNY,Christmas Sale,2440.11,Normal
01-09-2022,JIOMART_PAT_01,PROD_00244,Food,East,,418,553,392,273.06,0.15,Rainy,1,354.48,Average
17-04-2022,BIGBAZAAR_NGP_01,PROD_00194,Book,West,1306,451,1411,542,395.65,0.24,STORM,TRUE,379.19,Normal
01-02-2023,BIGBAZAAR_NGP_01,PROD_00388,sports,West,299,221,350,299,2104.55,0.3,WINDY,NO,2682.71,Off-season
07-04-2022,DMART_MUM_01,PROD_00414,Auto,West,1583,576,1434,813,3963.65,0.25,Sunny,Eid Special,4620.79,Medium
22-06-2023,RELIANCE_LKW_01,PROD_00097,furniture,North,,7,1278,406,11687.45,0.67,rainy,TRUE,11928.13,Slow
03-03-2024,BIGBAZAAR_NGP_01,PROD_00373,Home&Kitchen,West,127,0,147,97,125,0.06,clear,Onam Festival,2934.58,Medium
21-08-2024,AMAZON_DEL_01,PROD_00234,Sport,North,726,241,267,157,2080.67,,Mist,FALSE,2502.93,Peak
11-10-2022,FLIPKART_PUN_02,PROD_00052,groc,West,1360,642,1131,729,479.37,0.02,Foggy,New Year Sale,497.16,Peak
26-07-2022,DMART_MUM_01,PROD_00351,FURNITURE,West,326,1,111,248,16184.01,0.62,Mist,TRUE,19794.48,Low
09-25-2022,Spencer_CHN_01,PROD_00489,Home,South,134,39,64,25,2784.04,0.04,Fog,New Year Sale,3722.11,Normal
11-11-2023,LOCALMART_JDP_01,PROD_00341,SPORTS,West,1119,402,892,441,2156.03,0.2,rainy,none,2161.75,High
28-05-2022,DMART_MUM_01,PROD_00413,Toys,West,190,109,225,80,925.39,0.12,Mist,Diwali Sale,887.07,Average
01-11-2022,FLIPKART_PUN_02,PROD_00235,automotive,West,778,483,370,481,,0.33,WINDY,0,41004.14,Peak
10-10-2024,DMART_CHN_04,PROD_00291,Kitchen,South,516,202,610,127,2253.45,0.42,stormy,Independence Day,2092.83,Peak
23-07-2023,JIOMART_PAT_01,PROD_00305,Apparel,East,329,171,180,91,1294.18,0.37,Drizzle,TRUE,1336.81,Slow
24-08-2024,AMAZON_DEL_01,PROD_00275,clothing,North,1262,423,663,629,1001.82,0.37,Overcast,TRUE,1064.56,Medium
02-08-2024,JIOMART_PAT_01,PROD_00205,Elec,East,1406,409,916,264,14391.09,0.05,rain,New Year Sale,15727.57,Medium
17-07-2022,RELIANCE_LKW_01,PROD_00293,Food,North,408,124,448,169,362.21,0.26,CLOUDY,Diwali Sale,326.79,Slow
29-09-2024,DMART_CHN_04,PROD_00252,AUTO,South,1498,482,1453,592,2622.49,0.03,Foggy,Christmas Sale,2316.46,Average
08-05-2024,JIOMART_PAT_01,PROD_00469,Home,East,77,9,38,65,2067.93,0.42,Fog,Republic Day,2731.59,Normal
09-03-2024,AMAZON_DEL_01,PROD_00420,Home & Kitchen,North,969,3,468,687,3168.43,0.62,,Holi Offer,4023.07,Average
30-05-2023,MEESHO_KOL_01,PROD_00153,beauty,East,188,166,134,166,593.46,0.44,rainy,TRUE,616.89,Average
10-04-2022,JIOMART_PAT_01,PROD_00265,Clothes,East,200,80,183,67,1090.43,0.41,Drizzle,0,1037.17,Average
08-11-2023,FLIPKART_PUN_02,PROD_00426,Groceries,West,1040,473,414,367,418.78,0.22,sunny,none,420.43,High
13-11-2024,DMART_DEL_02,PROD_00190,Kitchen,North,795,353,291,330,2703.85,0.32,overcast,FALSE,2009.99,Festive
08-06-2023,LOCALMART_JDP_01,PROD_00102,Kitchen,West,380,194,382,200,3300.24,0.31,SUN,Onam Festival,3961.44,Slow
27-11-2022,LOCALMART_JDP_01,PROD_00237,Electronic,West,2462,0,1059,1108,750,0.52,SUN,Holi Offer,14989.99,Peak
20-09-2023,LOCALMART_JDP_01,PROD_00163,Furnishings,West,525,0,272,276,600,0.24,windy,Diwali Sale,13965.27,Normal
01-07-2024,DMART_CHN_04,PROD_00075,Kids,South,873,252,549,314,,0.08,CLOUDY,TRUE,867.3,Low
31-03-2022,LOCALMART_JDP_01,PROD_00086,toys,West,208,94,86,96,858.13,0.04,Clear,TRUE,1078.73,Medium
18-02-2022,DMART_BLR_03,PROD_00348,groc,South,12394,291,0,392,298.29,0.3,Foggy,1,364.93,Low
11-17-2022,DMART_DEL_02,PROD_00111,clothing,North,1162,445,1244,307,1524.61,0.12,Windy,New Year Sale,1903.64,High
21-04-2023,AMAZON_DEL_01,PROD_00483,apparel,North,1367,454,993,325,1499.22,0.19,Rain,Eid Special,1220.82,Medium
24-10-2023,DMART_BLR_03,PROD_00156,SPORTS,South,1590,12,750,451,1649.26,0.4,clear,Holi Offer,1608.94,Peak
20-04-2024,DMART_MUM_01,PROD_00404,Toy,West,1011,293,383,295,1248.09,0.13,,0,1646.08,Average
05-08-2024,Spencer_CHN_01,PROD_00105,Elec,South,163,139,110,154,,0.39,,TRUE,12869.32,Medium
14-09-2024,AMAZON_MUM_02,PROD_00100,ELECTRONICS,West,839,376,910,482,13836.59,0.38,,Republic Day,12864.45,Average
12-19-2024,RELIANCE_LKW_01,PROD_00371,BOOKS,North,695,516,621,366,,0.31,Wet,New Year Sale,339.35,High
26-02-2024,DMART_MUM_01,PROD_00402,SPORTS,West,1298,476,714,393,2029.6,0.38,stormy,New Year Sale,1622.82,Off-season
01-01-2023,DMART_CHN_04,PROD_00118,Sports,South,263,97,249,135,1435.01,0.39,Fog,None,1755.27,Off-season
03-07-2024,FLIPKART_PUN_02,PROD_00156,GROCERY,West,1447,442,1165,613,401.66,0.25,Rain,1,331.28,Low
21-07-2023,AMAZON_MUM_02,PROD_00037,Clothes,West,,361,422,372,1538.72,0.29,sunny,TRUE,1901.52,Slow
06-07-2023,MEESHO_KOL_01,PROD_00328,AUTO,East,454,188,227,235,34440,,windy,TRUE,37634.01,Low
08-05-2024,MEESHO_HYD_02,PROD_00236,Toys,South,13865,156,0,230,982.77,0.19,STORM,New Year Sale,1275.66,Medium
01-02-2025,LOCALMART_JDP_01,PROD_00374,Groceries,West,72,43,42,93,404.85,0.17,Cloudy,TRUE,485.15,Low
29-03-2023,RELIANCE_LKW_01,PROD_00350,Automotive,North,368,606,378,580,3588.59,0.19,Fair,none,4792.8,Normal
27-07-2024,DMART_BLR_03,PROD_00260,Sport,South,230,87,164,85,17090,0.1,rainy,Onam Festival,12874.28,Low
09-10-2022,JIOMART_PAT_01,PROD_00249,Beauty,East,479,150,569,148,657.6,0.21,windy,FALSE,703.65,Festive
02-09-2023,DMART_MUM_01,PROD_00099,books,West,1927,609,708,929,592.72,0.27,,Onam Festival,476.35,Medium
05-08-2024,RELIANCE_LKW_01,PROD_00015,Toys,North,243,232,99,257,855.57,,FOG,TRUE,1022.65,Average
14-12-2022,AMAZON_DEL_01,PROD_00103,home,North,1946,579,1563,606,2251.59,0.29,FOG,NO,2230.01,Festive
18-09-2023,DMART_DEL_02,PROD_00153,BEAUTY,North,,91,202,123,721.97,0.16,Clear,TRUE,507.35,Average
01-06-2022,JIOMART_PAT_01,PROD_00150,ELECTRONICS,East,,382,602,270,16309.95,0.36,Storm,1,13267.04,Off-season
27-11-2024,AMAZON_MUM_02,PROD_00434,BOOKS,West,165,85,117,75,572.24,0.22,STORM,TRUE,674.34,Festive
03-06-2022,FLIPKART_BLR_01,PROD_00324,electronics,South,333,143,352,147,12331.49,0.43,stormy,Eid Special,10716.15,Normal
06-04-2022,AMAZON_MUM_02,PROD_00367,cosmetics,West,352,194,358,253,,0.1,WINDY,Republic Day,15357.52,Average
31-10-2023,FLIPKART_BLR_01,PROD_00016,automotive,South,778,473,669,596,,0.17,Storm,Diwali Sale,3874.03,Festive
05-05-2022,AMAZON_MUM_02,PROD_00192,groceries,West,809,237,454,173,388.38,0.09,Thunderstorm,none,251.55,Normal
09-07-2024,AMAZON_MUM_02,PROD_00496,BOOKS,West,1385,434,942,528,573.03,0.14,WINDY,TRUE,602.15,Low
30-11-2022,DMART_BLR_03,PROD_00133,Grocery,South,385,142,154,143,377.42,0.22,Fog,Navratri,475.95,High
03-27-2022,Spencer_CHN_01,PROD_00047,AUTO,South,353,169,349,143,4001.85,0.01,rainy,Navratri,4781.57,Average
05-23-2025,BIGBAZAAR_NGP_01,PROD_00453,AUTO,West,99,29,68,30,4169.09,0.08,Fog,None,3549.29,Average
15-09-2024,FLIPKART_BLR_01,PROD_00328,books,South,271,223,125,345,527.31,0.06,,Republic Day,606.41,Medium
08-11-2022,MEESHO_KOL_01,PROD_00399,AUTO,East,273,215,245,192,,0.42,Storm,Eid Special,37697.23,High
27-08-2024,FLIPKART_PUN_02,PROD_00111,electronics,West,60,60,70,47,17223.86,0.36,,0,16026.15,Medium
15-01-2024,DMART_BLR_03,PROD_00142,TOYS,South,280,266,326,259,710.04,0.16,SUN,1,547.1,Slow
09-09-2023,BIGBAZAAR_NGP_01,PROD_00447,Clothing,West,,66,220,107,1297.03,0.05,Drizzle,Eid Special,1116.06,Medium
29-12-2022,AMAZON_DEL_01,PROD_00388,home,North,,538,1088,644,2290.36,0.4,foggy,0,2930.27,Peak
14-03-2024,DMART_CHN_04,PROD_00081,Electronic,South,1041,1113,557,1112,16337.58,0.32,RAINY,1,18380.44,Normal
28-08-2023,MEESHO_KOL_01,PROD_00491,Home&Kitchen,East,455,192,356,229,,0.07,FOG,Republic Day,3649.41,Medium
24-07-2024,Spencer_CHN_01,PROD_00384,Sport,South,,245,193,201,1417.03,0.43,Overcast,None,1598.69,Low
30-06-2022,BIGBAZAAR_NGP_01,PROD_00224,clothing,West,843,284,733,268,1130.69,0.24,rain,Eid Special,1515.08,Off-season
31-08-2023,DMART_BLR_03,PROD_00470,toys,South,488,201,438,249,,0.27,clear,Eid Special,876.37,Normal
25-07-2023,JIOMART_PAT_01,PROD_00471,CLOTHING,East,374,241,371,178,898,,sunny,TRUE,906.59,Low
23-03-2023,MEESHO_HYD_02,PROD_00428,Kids,South,1944,583,1617,523,1088.17,0.02,SUNNY,TRUE,948.26,Medium
22-02-2024,FLIPKART_BLR_01,PROD_00475,home,South,216,82,224,122,2218.43,0.12,rainy,none,1898.04,Off-season
20-12-2024,FLIPKART_PUN_02,PROD_00477,electronics,West,3814,1287,2291,924,16316.88,0.21,Fair,Holi Offer,20639.43,High
15-01-2022,AMAZON_MUM_02,PROD_00190,Groceries,West,541,253,450,280,323.68,0.09,Stormy,New Year Sale,232.57,Off-season
29-05-2024,FLIPKART_PUN_02,PROD_00153,Books,West,,302,370,303,574.55,0.03,clear,Holi Offer,606.67,Normal
03-25-2024,DMART_MUM_01,PROD_00044,Car Accessories,West,1438,435,469,365,4182,0.36,Rainy,Onam Festival,4850.32,Medium
29-04-2022,RELIANCE_LKW_01,PROD_00330,Auto,North,475,159,437,148,3503.99,0.43,rainy,Independence Day,2742.29,Normal
02-01-2024,DMART_MUM_01,PROD_00443,Automotive,West,598,303,308,335,3295.93,0.1,Windy,TRUE,4466.36,Slow
29-04-2024,AMAZON_MUM_02,PROD_00350,GROCERY,West,787,0,420,204,17.5,0.03,Thunderstorm,Holi Offer,304.29,Medium
18-04-2022,FLIPKART_BLR_01,PROD_00151,ELECTRONICS,South,156,61,55,90,12512.8,0.14,Drizzle,TRUE,15750.9,Normal
02-04-2024,DMART_DEL_02,PROD_00382,Food,North,427,127,303,99,307.29,0.42,Breezy,0,342.47,Average
13-09-2022,AMAZON_MUM_02,PROD_00497,Auto,West,456,154,383,191,4834.28,0.4,,0,4163.88,Off-season
23-03-2024,AMAZON_DEL_01,PROD_00075,Automotive,North,17473,186,0,217,3430.16,0.36,,Navratri,4252.88,Medium
09-02-2023,DMART_BLR_03,PROD_00425,Elec,South,1693,608,596,488,17736.29,0.31,STORM,Eid Special,22823.06,Normal
15-04-2023,FLIPKART_PUN_02,PROD_00023,home,West,619,227,524,184,2261.04,0.44,CLOUDY,FALSE,2801.75,Average
16-04-2022,BIGBAZAAR_NGP_01,PROD_00069,Groceries,West,288,237,166,160,371.86,0.38,Storm,Republic Day,281.64,Medium
21-01-2024,Spencer_CHN_01,PROD_00403,Elec,South,,0,444,91,750,0.24,overcast,none,12911.53,Low
29-07-2023,FLIPKART_BLR_01,PROD_00186,books,South,768,976,338,1223,534.94,0.11,windy,Navratri,627.25,Slow
04-09-2024,RELIANCE_LKW_01,PROD_00176,home,North,219,163,153,172,2344.9,0.04,,None,1993.76,Average
07-10-2024,FLIPKART_PUN_02,PROD_00070,home,West,102,15,76,72,3455.98,0.7,rain,Eid Special,4525.4,High
17-11-2024,BIGBAZAAR_NGP_01,PROD_00144,Home&Kitchen,West,636,373,320,532,3310.67,0.26,Fair,TRUE,2822.92,Peak
28-08-2024,DMART_DEL_02,PROD_00254,Fitness,North,347,281,389,410,,0.43,FOG,0,2102.97,Average
15-02-2022,Spencer_CHN_01,PROD_00195,groc,South,129,79,71,57,415.94,0.19,Thunderstorm,none,461.8,Slow
23-06-2023,JIOMART_PAT_01,PROD_00420,toys,East,284,107,168,137,825.75,0.31,SUNNY,FALSE,728.7,Off-season
03-18-2025,DMART_CHN_04,PROD_00049,Home & Kitchen,South,316,203,321,178,2975.41,0.31,Mist,TRUE,3334.07,Medium
09-10-2022,JIOMART_PAT_01,PROD_00439,Electronics,East,454,155,312,225,13650.01,0.33,Windy,Independence Day,15214.28,Festive
02-10-2022,JIOMART_PAT_01,PROD_00125,clothing,East,84,60,54,59,1320.04,0.18,clear,Navratri,1739.04,Festive
29-01-2024,AMAZON_MUM_02,PROD_00470,toys,West,84,36,53,71,1281.03,0.16,Windy,Independence Day,1254.09,Off-season
14-12-2023,RELIANCE_LKW_01,PROD_00336,TOYS,North,47,20,18,-1,1202.75,0.19,Foggy,0,970.83,Festive
24-01-2022,FLIPKART_PUN_02,PROD_00306,Auto,West,92,57,38,56,56664.76,0.29,Foggy,TRUE,57103.45,Low
04-07-2022,RELIANCE_LKW_01,PROD_00025,Cosmetics,North,305,114,169,173,979.57,0.06,Fog,None,874.12,Off-season
02-28-2023,FLIPKART_BLR_01,PROD_00158,CLOTHING,South,937,354,399,354,,0.2,cloudy,Eid Special,1431.01,Low
31-12-2023,LOCALMART_JDP_01,PROD_00204,apparel,West,1700,1094,1446,1630,1404.32,0.22,rainy,Holi Offer,1369.29,Festive
26-01-2023,Spencer_CHN_01,PROD_00139,Automotive,South,401,128,437,156,2639.65,0.1,Rainy,FALSE,3360.87,Low
18-05-2022,LOCALMART_JDP_01,PROD_00440,Toys,West,318,148,368,189,1028.53,0.24,Stormy,1,1185.64,Average
04-04-2024,MEESHO_HYD_02,PROD_00356,Sports,South,438,157,180,104,1551.85,0.43,STORM,FALSE,1644.14,Normal
04-29-2022,LOCALMART_JDP_01,PROD_00218,Auto,West,777,303,865,466,3513.72,0.28,Breezy,0,3761.2,Normal
14-04-2022,LOCALMART_JDP_01,PROD_00373,Apparel,West,587,169,508,206,1613.61,0.43,Stormy,none,2112.69,Average
01-04-2023,DMART_MUM_01,PROD_00457,TOYS,West,961,282,403,298,1116.75,0.39,SUN,Independence Day,852.57,Off-season
23-11-2022,BIGBAZAAR_NGP_01,PROD_00331,BOOKS,West,2221,874,1695,862,488.76,0.04,windy,TRUE,648.1,Festive
02-10-2023,DMART_DEL_02,PROD_00312,Book,North,395,11,350,80,447.51,0.36,WINDY,Independence Day,514.6,High
06-14-2024,DMART_BLR_03,PROD_00091,HOME & KITCHEN,South,336,232,330,303,2898.99,0.08,Sunny,New Year Sale,2864.61,Low
02-05-2022,LOCALMART_JDP_01,PROD_00250,SPORTS,West,312,268,362,321,2078.82,0.29,windy,none,2428.1,Low
06-16-2023,JIOMART_PAT_01,PROD_00028,Fitness,East,562,225,446,126,1963.59,0.43,rain,Holi Offer,1778.08,Low
24-02-2024,FLIPKART_BLR_01,PROD_00394,SPORTS,South,361,122,242,139,1904.93,0.05,SUN,Onam Festival,1929.73,Medium
13-12-2022,DMART_BLR_03,PROD_00074,HOME & KITCHEN,South,490,179,450,129,2688.1,0.07,Drizzle,Independence Day,2060.34,Peak
13-05-2023,MEESHO_HYD_02,PROD_00001,beauty,South,1076,546,1084,637,845.1,0.41,Fog,TRUE,926.71,Average
23-12-2023,DMART_MUM_01,PROD_00363,Electrnics,West,,1359,2669,1056,19014.91,,,Onam Festival,18632.64,High
08-05-2025,FLIPKART_BLR_01,PROD_00189,Groceries,South,,85,31,75,341.37,0.13,Cloudy,0,320.57,Normal
01-06-2024,JIOMART_PAT_01,PROD_00280,Car Accessories,East,249,168,197,221,,,WINDY,0,2875.48,Off-season
15-02-2022,AMAZON_MUM_02,PROD_00317,apparel,West,1001,539,993,745,1298.26,0.44,Storm,Diwali Sale,1095.47,Off-season
24-11-2024,LOCALMART_JDP_01,PROD_00032,Apparel,West,195,102,113,98,1305.62,,Stormy,FALSE,1222.62,Peak
27-02-2024,MEESHO_KOL_01,PROD_00124,furniture,East,314,11,96,191,9193.15,0.58,Mist,FALSE,9422.33,Low
30-03-2023,RELIANCE_LKW_01,PROD_00055,CLOTHING,North,569,233,657,192,1054.14,0.25,sunny,Independence Day,1122.55,Normal
05-02-2022,DMART_MUM_01,PROD_00325,Books,West,18022,549,0,616,615.88,0.35,Drizzle,TRUE,707.39,Slow
17-07-2022,DMART_MUM_01,PROD_00346,Stationery,West,764,347,299,190,437.12,0.41,,Navratri,445.84,Slow
03-16-2022,DMART_MUM_01,PROD_00351,Cosmetics,West,314,157,174,128,1022.81,0.09,stormy,Independence Day,1090.59,Normal
07-02-2023,BIGBAZAAR_NGP_01,PROD_00264,Apparel,West,677,206,468,194,1517.36,0.08,STORM,Onam Festival,1761.11,Low
17-10-2023,DMART_CHN_04,PROD_00170,Auto,South,1191,381,701,499,3562.69,0.15,Wet,0,3755.09,High
18-09-2022,DMART_DEL_02,PROD_00244,Electrnics,North,1213,684,929,684,14481.92,0.09,Sunny,Eid Special,17855.45,Normal
03-15-2023,FLIPKART_PUN_02,PROD_00391,Grocery,West,249,86,241,59,319.62,0.4,Stormy,FALSE,434.17,Normal
30-09-2024,AMAZON_MUM_02,PROD_00167,Beauty,West,428,227,297,229,943.26,0.15,,0,1135.82,Normal
05-24-2023,MEESHO_KOL_01,PROD_00056,groceries,East,295,99,312,167,363.12,0.32,Fair,TRUE,462.22,Average
02-03-2024,FLIPKART_PUN_02,PROD_00434,Home & Kitchen,West,17534,151,0,208,2695.93,0.32,Fog,Independence Day,2977.23,Off-season
16-05-2022,DMART_DEL_02,PROD_00377,toys,North,267,113,130,66,778.06,0.28,SUN,none,719.93,Normal
08-02-2024,AMAZON_MUM_02,PROD_00324,Toy,West,85,32,90,15,1093.07,0.19,clear,Independence Day,1431.84,Slow
28-06-2022,Spencer_CHN_01,PROD_00437,apparel,South,441,232,494,329,1224.45,0.12,windy,0,1108.39,Low
03-09-2022,DMART_MUM_01,PROD_00376,groc,West,197,58,217,78,397.67,0.32,Windy,TRUE,516.35,Medium
11-27-2024,DMART_BLR_03,PROD_00397,Kitchen,South,614,323,334,295,,0.3,Breezy,Christmas Sale,3224.7,Peak
04-02-2024,AMAZON_DEL_01,PROD_00352,automotive,North,433,227,484,138,2833.87,,cloudy,Holi Offer,3595.22,Low
11-06-2024,DMART_CHN_04,PROD_00398,Electronic,South,856,409,870,462,11216.58,0.05,WINDY,TRUE,10752.59,Slow
01-02-2024,AMAZON_DEL_01,PROD_00250,Kids,North,563,231,567,273,1119.6,0.3,Storm,FALSE,1098.78,Slow
08-30-2023,LOCALMART_JDP_01,PROD_00497,home,West,858,459,996,552,2499.5,0.04,Drizzle,New Year Sale,2342.21,Medium
23-02-2023,LOCALMART_JDP_01,PROD_00282,groc,West,200,142,136,172,428.09,0.42,Overcast,TRUE,308.82,Low
09-01-2023,DMART_DEL_02,PROD_00231,AUTO,North,1096,595,719,566,3532.91,0.04,SUNNY,Onam Festival,3613.65,Low
04-08-2022,BIGBAZAAR_NGP_01,PROD_00324,clothing,West,74,39,55,0,1454.42,0.14,Foggy,1,1409.86,Average
09-02-2023,BIGBAZAAR_NGP_01,PROD_00002,HOME & KITCHEN,West,1573,528,1044,485,2325.54,,,Navratri,2240.79,Slow
08-10-2024,MEESHO_HYD_02,PROD_00034,cosmetics,South,318,152,159,182,653.02,0.06,Stormy,FALSE,813.58,Peak
29-07-2024,Spencer_CHN_01,PROD_00013,Furniture,South,534,176,287,176,9931.82,0.13,stormy,None,8980.36,Slow
09-15-2022,DMART_DEL_02,PROD_00298,Home,North,2849,850,1786,736,2505.2,,sunny,Christmas Sale,2557.04,Average
12-29-2024,AMAZON_DEL_01,PROD_00342,sports,North,1575,498,1664,626,,0.34,Stormy,Diwali Sale,1490.27,Peak
13-09-2023,DMART_MUM_01,PROD_00027,cosmetics,West,247,171,229,207,,0.31,stormy,none,1225.39,Medium
14-10-2022,Spencer_CHN_01,PROD_00361,BOOKS,South,465,251,417,309,497.22,0.4,Rain,Republic Day,407.01,High
16-09-2022,LOCALMART_JDP_01,PROD_00114,Car Accessories,West,1565,506,1111,660,4572.1,0,Foggy,Christmas Sale,5389.12,Average
11-18-2024,BIGBAZAAR_NGP_01,PROD_00159,cosmetics,West,2191,743,2584,868,9917.91,,STORM,1,10117.09,High
