Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
28-06-2025,DMART_091,PRD_0296,Stationery,Gujarat,344,88,138,114,2061.22,0.29,Sunny,Festive Discount,1599.14,Low
29-06-2025,DMART_084,PRD_0118,Stationery,Gujarat,1653,15,77,55,1315.5,0.15,Cloudy,None,1141.59,Medium
30-06-2025,DMART_024,PRD_0532,Groceries,Maharashtra,1262,102,185,95,299.2,0.32,Cloudy,None,228.85,High
01-07-2025,DMART_012,PRD_0222,Groceries,Telangana,1917,188,229,234,1278.59,0.13,Extreme Heat,Republic Day Offer,1272.74,Medium
02-07-2025,DMART_050,PRD_0166,Home & Kitchen,Gujarat,1794,475,509,501,653.59,0.1,Rainy,Festive Discount,592.76,High
03-07-2025,DMART_035,PRD_0643,Groceries,Maharashtra,114,114,176,109,3363.8,0.21,Rainy,None,2623.72,Medium
04-07-2025,DMART_033,PRD_0156,Apparel,Andhra Pradesh,623,183,256,180,2508.31,0.4,Extreme Heat,Festive Discount,1680.13,Medium
05-07-2025,DMART_033,PRD_0184,Personal Care,Telangana,514,78,120,102,2627.85,0.32,Humid,Republic Day Offer,1905.74,Medium
06-07-2025,DMART_061,PRD_0090,Personal Care,Karnataka,307,132,179,134,1537.17,0.29,Sunny,Festive Discount,1229.86,Medium
07-07-2025,DMART_051,PRD_0094,Apparel,Andhra Pradesh,1719,154,242,159,402.68,0.18,Cloudy,End of Month,336.64,Medium
08-07-2025,DMART_043,PRD_0013,Groceries,Maharashtra,1053,26,43,71,948.17,0.12,Cloudy,Republic Day Offer,889.67,Medium
09-07-2025,DMART_012,PRD_0973,Personal Care,Andhra Pradesh,683,114,124,95,923.79,0.34,Humid,Summer Special,649.6,Low
10-07-2025,DMART_067,PRD_0834,Groceries,Karnataka,1404,321,404,322,1713.99,0.23,Cloudy,None,1303.47,High
11-07-2025,DMART_065,PRD_0805,Groceries,Andhra Pradesh,1574,32,100,49,1624.21,0.33,Humid,Festive Discount,1249.7,Low
12-07-2025,DMART_033,PRD_0945,Personal Care,Maharashtra,1756,48,92,69,1528.26,0.2,Extreme Heat,None,1323.85,Low
13-07-2025,DMART_040,PRD_0742,Apparel,Karnataka,259,170,195,177,1746,0.3,Humid,None,1323.43,Medium
14-07-2025,DMART_074,PRD_0834,Groceries,Karnataka,1881,19,42,61,3454.84,0.35,Rainy,Republic Day Offer,2266.7,Medium
15-07-2025,DMART_043,PRD_0804,Personal Care,Andhra Pradesh,138,92,106,88,1058.27,0.16,Humid,None,960.13,Medium
16-07-2025,DMART_044,PRD_0438,Home & Kitchen,Karnataka,1752,177,266,215,2161.14,0.01,Extreme Heat,End of Month,2388.99,Medium
17-07-2025,DMART_029,PRD_0538,Groceries,Andhra Pradesh,77,77,107,58,853.49,0.1,Humid,End of Month,854.71,Low
18-07-2025,DMART_013,PRD_0587,Groceries,Telangana,287,152,219,181,1643.79,0.37,Extreme Heat,None,1174.3,Medium
19-07-2025,DMART_012,PRD_0968,Electronics,Karnataka,385,52,118,46,716.17,0.28,Rainy,None,505.19,Low
20-07-2025,DMART_095,PRD_0876,Home & Kitchen,Andhra Pradesh,112,97,117,94,1962.51,0.29,Sunny,Diwali Sale,1374.66,Medium
21-07-2025,DMART_046,PRD_0936,Personal Care,Telangana,1840,247,327,264,942.24,0.13,Extreme Heat,Summer Special,895.19,High
22-07-2025,DMART_002,PRD_0811,Home & Kitchen,Karnataka,1981,31,48,18,148.03,0.28,Sunny,Summer Special,118.47,Medium
23-07-2025,DMART_035,PRD_0150,Groceries,Telangana,1626,27,117,26,2857.14,0.26,Extreme Heat,None,2293.71,Medium
24-07-2025,DMART_087,PRD_0660,Home & Kitchen,Tamil Nadu,549,71,94,110,466.33,0.07,Humid,Festive Discount,424.39,Medium
25-07-2025,DMART_081,PRD_0008,Personal Care,Karnataka,1614,413,471,418,1300.78,0.39,Sunny,None,848.22,High
26-07-2025,DMART_090,PRD_0029,Personal Care,Tamil Nadu,840,244,286,258,1680.58,0.14,Extreme Heat,None,1589.36,High
27-07-2025,DMART_008,PRD_0296,Groceries,Maharashtra,1542,397,430,402,1525.03,0.13,Extreme Heat,None,1296.79,High
28-07-2025,DMART_093,PRD_0986,Groceries,Maharashtra,641,176,256,173,2545.32,0.15,Sunny,None,2079.51,Low
29-07-2025,DMART_026,PRD_0926,Groceries,Andhra Pradesh,1124,159,206,182,2096.78,0.04,Extreme Heat,Republic Day Offer,2014.84,Low
30-07-2025,DMART_074,PRD_0721,Electronics,Gujarat,1185,161,249,147,1047.89,0.25,Sunny,Diwali Sale,760.89,High
31-07-2025,DMART_090,PRD_0640,Personal Care,Tamil Nadu,1946,114,173,128,199.93,0.1,Rainy,Summer Special,176.29,Low
01-08-2025,DMART_034,PRD_0340,Personal Care,Tamil Nadu,350,16,114,7,2691.23,0.32,Cloudy,Republic Day Offer,1812.97,Medium
02-08-2025,DMART_007,PRD_0628,Groceries,Maharashtra,1163,172,245,195,1246.79,0.16,Rainy,None,1106.1,Low
03-08-2025,DMART_068,PRD_0439,Groceries,Tamil Nadu,278,43,133,63,3116.24,0.18,Sunny,Diwali Sale,2507.2,Low
04-08-2025,DMART_058,PRD_0144,Home & Kitchen,Gujarat,199,72,83,105,1394.8,0.26,Humid,None,1105.37,Low
05-08-2025,DMART_075,PRD_0942,Personal Care,Telangana,1828,139,187,119,2517.45,0.3,Humid,Diwali Sale,1776.55,Medium
06-08-2025,DMART_029,PRD_0830,Personal Care,Telangana,1211,212,295,216,3289.69,0.09,Cloudy,None,3029.87,High
07-08-2025,DMART_036,PRD_0747,Groceries,Gujarat,1208,182,205,176,2286.01,0.39,Sunny,None,1594.54,Low
08-08-2025,DMART_089,PRD_0519,Home & Kitchen,Tamil Nadu,1530,72,93,54,1458.94,0.25,Extreme Heat,None,1215.7,Medium
09-08-2025,DMART_021,PRD_0976,Groceries,Tamil Nadu,1674,139,229,163,1994.55,0,Rainy,Summer Special,2064.02,Medium
10-08-2025,DMART_036,PRD_0045,Groceries,Tamil Nadu,1567,191,278,215,1911.19,0.17,Rainy,Diwali Sale,1648.93,Medium
11-08-2025,DMART_010,PRD_0955,Personal Care,Andhra Pradesh,576,163,223,193,2055.17,0.17,Cloudy,Festive Discount,1659.66,High
12-08-2025,DMART_073,PRD_0239,Groceries,Karnataka,382,253,272,274,530.93,0.32,Cloudy,None,403.96,High
13-08-2025,DMART_024,PRD_0952,Groceries,Gujarat,1435,142,195,160,2450.81,0.12,Cloudy,Festive Discount,2050.6,Low
14-08-2025,DMART_064,PRD_0944,Home & Kitchen,Gujarat,223,94,143,93,524.75,0.13,Cloudy,None,446.9,Medium
15-08-2025,DMART_099,PRD_0155,Home & Kitchen,Gujarat,1675,483,552,480,70.87,0.03,Cloudy,End of Month,72.65,High
16-08-2025,DMART_049,PRD_0181,Apparel,Gujarat,1286,162,241,180,2194.23,0.11,Cloudy,None,1928.82,Medium
17-08-2025,DMART_099,PRD_0215,Personal Care,Gujarat,1416,10,50,18,426.86,0.29,Extreme Heat,None,326.27,Low
18-08-2025,DMART_036,PRD_0088,Groceries,Tamil Nadu,110,18,64,17,2701.03,0.25,Extreme Heat,Summer Special,1925.96,Medium
19-08-2025,DMART_082,PRD_0256,Groceries,Andhra Pradesh,1949,321,403,342,3033.56,0.03,Rainy,End of Month,2853.34,High
20-08-2025,DMART_096,PRD_0511,Electronics,Maharashtra,1805,289,356,280,3307.68,0.05,Rainy,Summer Special,3465.75,High
21-08-2025,DMART_024,PRD_0073,Personal Care,Tamil Nadu,1134,131,183,166,2332.38,0.15,Cloudy,None,2111.99,Medium
22-08-2025,DMART_023,PRD_0931,Home & Kitchen,Tamil Nadu,868,117,197,108,1697.41,0.3,Rainy,End of Month,1133.4,Medium
23-08-2025,DMART_062,PRD_0179,Groceries,Karnataka,1751,13,60,45,1245.94,0.33,Cloudy,None,827.4,Medium
24-08-2025,DMART_096,PRD_0212,Personal Care,Maharashtra,573,158,175,145,1728.42,0.01,Extreme Heat,None,1707.36,Medium
25-08-2025,DMART_037,PRD_0805,Groceries,Gujarat,265,70,113,107,682.43,0.13,Humid,Summer Special,664.85,Low
26-08-2025,DMART_012,PRD_0234,Personal Care,Maharashtra,1662,35,61,38,1232.51,0.17,Extreme Heat,Diwali Sale,1091.02,Medium
27-08-2025,DMART_055,PRD_0465,Electronics,Andhra Pradesh,1817,462,488,502,2518.4,0.36,Sunny,Festive Discount,1705.72,High
28-08-2025,DMART_013,PRD_0751,Electronics,Telangana,673,181,272,161,776.63,0.2,Extreme Heat,None,601.01,Medium
29-08-2025,DMART_023,PRD_0223,Personal Care,Tamil Nadu,627,431,493,480,938.95,0.11,Sunny,Festive Discount,903.68,High
30-08-2025,DMART_089,PRD_0631,Personal Care,Maharashtra,743,87,111,111,2627.66,0.16,Rainy,Republic Day Offer,2165.69,Low
31-08-2025,DMART_099,PRD_0825,Electronics,Karnataka,472,147,220,135,638.87,0.17,Extreme Heat,Diwali Sale,559.08,Medium
01-09-2025,DMART_030,PRD_0264,Home & Kitchen,Andhra Pradesh,765,282,348,262,875.69,0.27,Humid,None,683.06,High
02-09-2025,DMART_017,PRD_0207,Groceries,Telangana,1496,90,119,93,81.07,0.02,Extreme Heat,Summer Special,88.85,Medium
03-09-2025,DMART_062,PRD_0607,Personal Care,Andhra Pradesh,1444,84,154,123,2525.78,0.16,Extreme Heat,Summer Special,2357.77,Medium
04-09-2025,DMART_084,PRD_0885,Groceries,Gujarat,1279,56,90,83,2170.3,0.26,Extreme Heat,None,1586.78,Low
05-09-2025,DMART_089,PRD_0734,Personal Care,Telangana,1359,297,384,315,2436.46,0.11,Cloudy,End of Month,2457.37,High
06-09-2025,DMART_086,PRD_0366,Personal Care,Karnataka,1178,92,128,89,765.86,0.24,Extreme Heat,None,553.27,Medium
07-09-2025,DMART_013,PRD_0276,Personal Care,Telangana,803,160,216,191,2412.07,0.14,Extreme Heat,End of Month,2107.62,Low
08-09-2025,DMART_059,PRD_0380,Groceries,Karnataka,796,483,520,464,2095.39,0.3,Humid,Festive Discount,1412.9,High
09-09-2025,DMART_019,PRD_0743,Groceries,Gujarat,737,132,147,147,1294.11,0.02,Sunny,None,1387.69,Medium
10-09-2025,DMART_049,PRD_0309,Personal Care,Karnataka,772,63,113,90,1543.63,0.37,Sunny,Republic Day Offer,1021.15,Low
11-09-2025,DMART_100,PRD_0631,Apparel,Andhra Pradesh,1616,196,264,210,1996.36,0.07,Humid,None,1828.74,Medium
12-09-2025,DMART_012,PRD_0268,Home & Kitchen,Maharashtra,796,156,243,205,1736.66,0.06,Rainy,Diwali Sale,1578.63,Medium
13-09-2025,DMART_061,PRD_0945,Groceries,Andhra Pradesh,291,34,104,55,2253.56,0.34,Extreme Heat,Summer Special,1480.24,Low
14-09-2025,DMART_019,PRD_0785,Electronics,Tamil Nadu,1564,76,165,93,649.81,0.35,Rainy,None,479.04,Medium
15-09-2025,DMART_076,PRD_0064,Electronics,Andhra Pradesh,714,150,208,155,1901.67,0.04,Humid,None,1981.75,Medium
16-09-2025,DMART_009,PRD_0810,Groceries,Telangana,757,30,44,40,1586.97,0.36,Rainy,End of Month,1014.08,Medium
17-09-2025,DMART_071,PRD_0350,Groceries,Gujarat,1571,31,51,62,1624.35,0.11,Sunny,Diwali Sale,1631.8,Low
18-09-2025,DMART_028,PRD_0925,Home & Kitchen,Tamil Nadu,484,184,279,223,1653.45,0.25,Cloudy,None,1211.94,Low
19-09-2025,DMART_078,PRD_0915,Apparel,Tamil Nadu,830,150,199,137,3087.52,0.03,Rainy,None,3257.51,High
20-09-2025,DMART_095,PRD_0494,Electronics,Tamil Nadu,533,58,137,98,2868.82,0.15,Cloudy,None,2523.77,Medium
21-09-2025,DMART_052,PRD_0523,Stationery,Maharashtra,1520,116,164,130,2210.9,0.18,Rainy,None,1819.58,Low
22-09-2025,DMART_083,PRD_0098,Home & Kitchen,Karnataka,433,337,416,350,2513.37,0.24,Humid,End of Month,1914.86,High
23-09-2025,DMART_016,PRD_0946,Personal Care,Telangana,1583,418,447,407,168.95,0.21,Cloudy,None,140.17,High
24-09-2025,DMART_069,PRD_0071,Groceries,Gujarat,219,85,98,104,2609.09,0.18,Rainy,Diwali Sale,2431.06,Medium
25-09-2025,DMART_099,PRD_0364,Groceries,Maharashtra,1070,173,271,204,1711.85,0.38,Humid,None,1165.85,High
26-09-2025,DMART_012,PRD_0570,Personal Care,Andhra Pradesh,999,160,182,151,1125.76,0.07,Sunny,None,1133.25,Medium
27-09-2025,DMART_025,PRD_0802,Home & Kitchen,Gujarat,918,131,189,137,506.42,0.06,Extreme Heat,None,535.59,High
28-09-2025,DMART_052,PRD_0763,Personal Care,Tamil Nadu,372,252,337,250,281.73,0.29,Humid,Republic Day Offer,212.84,High
29-09-2025,DMART_085,PRD_0276,Home & Kitchen,Gujarat,897,14,32,50,176.2,0.03,Humid,None,168.93,Medium
30-09-2025,DMART_100,PRD_0050,Groceries,Gujarat,1547,114,182,147,583.05,0.19,Sunny,Festive Discount,540.95,High
01-10-2025,DMART_053,PRD_0358,Personal Care,Andhra Pradesh,1305,403,415,397,124.9,0.19,Cloudy,None,106.93,High
02-10-2025,DMART_023,PRD_0728,Groceries,Karnataka,745,90,110,106,2569.6,0.12,Rainy,None,2290.78,Medium
03-10-2025,DMART_016,PRD_0906,Personal Care,Telangana,408,344,358,384,885.18,0.37,Cloudy,None,616.57,High
04-10-2025,DMART_057,PRD_0928,Apparel,Tamil Nadu,1348,193,237,190,1303.22,0.11,Humid,None,1209.51,Medium
05-10-2025,DMART_039,PRD_0564,Home & Kitchen,Karnataka,1984,154,187,177,2883.05,0.12,Rainy,Summer Special,2416.55,High
06-10-2025,DMART_053,PRD_0783,Electronics,Maharashtra,81,81,160,81,419.01,0.09,Extreme Heat,Summer Special,386.63,High
07-10-2025,DMART_042,PRD_0485,Groceries,Tamil Nadu,226,60,151,68,2927.87,0.06,Extreme Heat,None,2866.25,Medium
08-10-2025,DMART_058,PRD_0084,Personal Care,Telangana,966,32,47,26,2245.6,0.15,Rainy,Republic Day Offer,1955.57,Low
09-10-2025,DMART_039,PRD_0899,Groceries,Maharashtra,114,114,209,161,1210.26,0.27,Humid,Republic Day Offer,936.81,High
10-10-2025,DMART_014,PRD_0805,Personal Care,Andhra Pradesh,1783,20,71,63,429.97,0.3,Sunny,Festive Discount,296.97,Low
11-10-2025,DMART_095,PRD_0638,Stationery,Karnataka,76,76,128,69,338.39,0.33,Cloudy,None,241.34,Medium
12-10-2025,DMART_005,PRD_0808,Home & Kitchen,Tamil Nadu,1736,33,56,49,1187.59,0.08,Cloudy,None,1253.53,Medium
13-10-2025,DMART_035,PRD_0584,Stationery,Gujarat,1888,146,231,179,508.39,0.01,Sunny,Diwali Sale,554.02,Low
14-10-2025,DMART_087,PRD_0296,Groceries,Telangana,1552,213,247,251,951.63,0.39,Sunny,None,630.94,High
15-10-2025,DMART_093,PRD_0236,Stationery,Tamil Nadu,317,147,240,185,204.29,0.01,Extreme Heat,End of Month,200.25,Medium
16-10-2025,DMART_075,PRD_0056,Groceries,Gujarat,646,191,218,225,2090.63,0.38,Sunny,Festive Discount,1382.2,High
17-10-2025,DMART_018,PRD_0919,Stationery,Tamil Nadu,1061,186,219,208,525.56,0.33,Rainy,None,392.24,High
18-10-2025,DMART_076,PRD_0360,Groceries,Maharashtra,115,81,153,112,2653.43,0.36,Extreme Heat,Summer Special,1695.02,Medium
19-10-2025,DMART_009,PRD_0907,Groceries,Gujarat,182,80,168,98,779.25,0.15,Humid,Festive Discount,640.74,Medium
20-10-2025,DMART_074,PRD_0110,Personal Care,Gujarat,1978,194,204,192,2796.96,0.08,Extreme Heat,Festive Discount,2785.11,Medium
21-10-2025,DMART_058,PRD_0192,Electronics,Tamil Nadu,965,99,123,134,680.79,0.24,Extreme Heat,End of Month,561.23,Medium
22-10-2025,DMART_017,PRD_0904,Groceries,Andhra Pradesh,1439,136,199,151,2530.36,0.3,Cloudy,End of Month,1967.64,Medium
23-10-2025,DMART_007,PRD_0093,Groceries,Andhra Pradesh,131,131,174,162,1179.1,0.05,Sunny,None,1205.18,High
24-10-2025,DMART_046,PRD_0862,Stationery,Karnataka,1966,152,213,175,2049.26,0.32,Rainy,Festive Discount,1560.18,Medium
25-10-2025,DMART_013,PRD_0568,Groceries,Maharashtra,1904,156,167,181,154.54,0.08,Sunny,None,142.63,High
26-10-2025,DMART_040,PRD_0060,Groceries,Andhra Pradesh,1031,148,193,167,1743.45,0.2,Cloudy,None,1334.86,Medium
27-10-2025,DMART_042,PRD_0650,Personal Care,Tamil Nadu,1401,156,188,188,537.43,0.34,Sunny,None,388.95,Medium
28-10-2025,DMART_009,PRD_0039,Groceries,Andhra Pradesh,1171,179,212,215,1712.39,0.08,Rainy,End of Month,1618.23,Low
29-10-2025,DMART_050,PRD_0540,Electronics,Karnataka,634,67,108,65,511.93,0.1,Sunny,None,457.02,Medium
30-10-2025,DMART_027,PRD_0049,Apparel,Telangana,376,376,436,399,1541.07,0.03,Cloudy,End of Month,1435.53,High
31-10-2025,DMART_066,PRD_0420,Personal Care,Karnataka,591,119,174,118,404.96,0.06,Rainy,Diwali Sale,419.14,High
01-11-2025,DMART_005,PRD_0637,Electronics,Gujarat,1198,346,368,369,785.43,0.06,Sunny,None,823.4,High
02-11-2025,DMART_029,PRD_0013,Personal Care,Gujarat,259,105,128,127,2090.87,0.08,Cloudy,None,1977.09,High
03-11-2025,DMART_037,PRD_0992,Groceries,Andhra Pradesh,1857,127,153,113,3418.78,0.11,Cloudy,None,3429.2,Low
04-11-2025,DMART_038,PRD_0036,Groceries,Andhra Pradesh,1798,189,214,210,1583.16,0.33,Extreme Heat,None,1095.84,Low
05-11-2025,DMART_083,PRD_0101,Personal Care,Karnataka,182,53,94,94,2411.36,0.37,Rainy,None,1732.31,Medium
06-11-2025,DMART_008,PRD_0794,Groceries,Karnataka,1576,168,256,149,1897.2,0.16,Rainy,None,1827.34,Medium
07-11-2025,DMART_065,PRD_0086,Electronics,Tamil Nadu,206,18,39,43,1754.29,0.05,Sunny,Summer Special,1855.77,Low
08-11-2025,DMART_086,PRD_0516,Apparel,Maharashtra,1632,59,71,76,245.17,0.09,Extreme Heat,Diwali Sale,223.38,Low
09-11-2025,DMART_017,PRD_0223,Groceries,Tamil Nadu,1942,466,550,446,522.15,0.29,Rainy,Republic Day Offer,379.35,High
10-11-2025,DMART_071,PRD_0338,Personal Care,Gujarat,924,70,132,96,3093.04,0.27,Cloudy,None,2385.56,Medium
11-11-2025,DMART_089,PRD_0960,Home & Kitchen,Tamil Nadu,431,28,80,20,1447.37,0.39,Rainy,None,896.79,Medium
12-11-2025,DMART_045,PRD_0166,Electronics,Karnataka,1095,61,75,100,2157.88,0.01,Extreme Heat,End of Month,2379.38,Medium
13-11-2025,DMART_004,PRD_0383,Stationery,Tamil Nadu,1023,64,120,107,1858.25,0.3,Humid,Republic Day Offer,1477.04,Medium
14-11-2025,DMART_036,PRD_0856,Personal Care,Telangana,644,34,70,81,1338.51,0.2,Cloudy,None,1228.39,Medium
15-11-2025,DMART_070,PRD_0895,Apparel,Maharashtra,1492,78,139,112,1369.6,0.36,Rainy,None,891.67,Low
16-11-2025,DMART_031,PRD_0376,Personal Care,Karnataka,521,276,341,286,1953.02,0.23,Cloudy,Festive Discount,1509.91,High
17-11-2025,DMART_019,PRD_0471,Personal Care,Andhra Pradesh,283,150,239,143,511.17,0.18,Sunny,None,411.7,Medium
18-11-2025,DMART_061,PRD_0790,Groceries,Tamil Nadu,621,207,296,191,1367.66,0.27,Cloudy,None,957.95,High
19-11-2025,DMART_054,PRD_0642,Groceries,Karnataka,1527,81,170,114,1575.47,0.33,Rainy,None,1040.16,Medium
20-11-2025,DMART_039,PRD_0031,Personal Care,Andhra Pradesh,1773,34,129,66,3448.24,0.11,Sunny,End of Month,3090.11,Medium
21-11-2025,DMART_091,PRD_0375,Groceries,Andhra Pradesh,1643,164,241,180,1243.06,0.04,Sunny,End of Month,1227,High
22-11-2025,DMART_074,PRD_0011,Groceries,Gujarat,820,84,108,120,2263.13,0.17,Sunny,None,1825.69,Low
23-11-2025,DMART_090,PRD_0988,Home & Kitchen,Gujarat,1235,73,101,55,498.21,0.09,Humid,None,505.08,Low
24-11-2025,DMART_019,PRD_0302,Groceries,Karnataka,350,91,126,81,247.88,0.17,Humid,None,220.93,Medium
25-11-2025,DMART_039,PRD_0096,Personal Care,Karnataka,355,355,443,376,3052.97,0.4,Sunny,None,1946.32,High
26-11-2025,DMART_067,PRD_0190,Personal Care,Telangana,51,51,105,85,2562.96,0.23,Rainy,None,2090.02,Low
27-11-2025,DMART_045,PRD_0453,Electronics,Maharashtra,320,109,128,126,1124.9,0.28,Sunny,None,816.4,Medium
28-11-2025,DMART_013,PRD_0192,Personal Care,Maharashtra,470,26,61,29,1775.93,0.27,Sunny,None,1474.7,Medium
29-11-2025,DMART_092,PRD_0486,Groceries,Karnataka,1216,309,326,297,492.39,0.33,Cloudy,End of Month,328.7,High
30-11-2025,DMART_058,PRD_0266,Personal Care,Gujarat,749,76,165,68,2480.92,0.38,Cloudy,Republic Day Offer,1666.97,Medium
01-12-2025,DMART_020,PRD_0424,Apparel,Tamil Nadu,913,110,151,107,264.75,0.26,Cloudy,Summer Special,196.04,Medium
02-12-2025,DMART_092,PRD_0128,Electronics,Telangana,1926,147,177,136,2654.48,0.19,Extreme Heat,Diwali Sale,2468.18,Medium
03-12-2025,DMART_072,PRD_0238,Personal Care,Maharashtra,1009,164,218,155,1922.99,0.13,Cloudy,Festive Discount,1894.39,Low
04-12-2025,DMART_061,PRD_0920,Groceries,Karnataka,1043,421,485,447,990.4,0.14,Cloudy,Festive Discount,854.22,High
05-12-2025,DMART_039,PRD_0355,Electronics,Gujarat,1809,144,165,133,3021.76,0.13,Rainy,None,3016.68,Medium
06-12-2025,DMART_001,PRD_0940,Groceries,Gujarat,1059,333,390,313,3451.53,0.13,Humid,None,3228.62,High
07-12-2025,DMART_003,PRD_0112,Home & Kitchen,Gujarat,928,38,106,74,905.13,0.28,Humid,End of Month,714.07,Medium
08-12-2025,DMART_077,PRD_0828,Personal Care,Tamil Nadu,741,58,141,48,2825.74,0.24,Humid,End of Month,2161.7,Low
09-12-2025,DMART_092,PRD_0446,Groceries,Andhra Pradesh,1608,176,255,208,2630.58,0.08,Extreme Heat,Festive Discount,2403.66,Medium
10-12-2025,DMART_062,PRD_0343,Groceries,Tamil Nadu,916,305,351,288,2620.22,0.39,Sunny,Republic Day Offer,1792.71,High
11-12-2025,DMART_063,PRD_0145,Groceries,Gujarat,1110,198,289,238,3351.18,0.17,Cloudy,None,2795.49,Medium
12-12-2025,DMART_025,PRD_0065,Home & Kitchen,Karnataka,156,87,127,76,1713.43,0.23,Rainy,None,1495.48,Medium
13-12-2025,DMART_056,PRD_0247,Electronics,Telangana,1370,191,203,175,2366.1,0.28,Extreme Heat,None,1743.34,Medium
14-12-2025,DMART_033,PRD_0735,Groceries,Tamil Nadu,1814,146,224,186,2887.09,0.25,Humid,Summer Special,2061.01,Medium
15-12-2025,DMART_038,PRD_0991,Apparel,Karnataka,1898,239,307,248,1688.79,0.12,Extreme Heat,Festive Discount,1587.84,High
16-12-2025,DMART_006,PRD_0490,Groceries,Gujarat,1170,61,103,97,1695.38,0.32,Rainy,None,1176.75,Medium
17-12-2025,DMART_058,PRD_0825,Personal Care,Telangana,330,130,175,142,1128.92,0.04,Extreme Heat,Diwali Sale,1241.12,Medium
18-12-2025,DMART_044,PRD_0439,Groceries,Maharashtra,1183,84,167,100,2737.27,0.23,Humid,Diwali Sale,2165.33,Medium
19-12-2025,DMART_045,PRD_0106,Electronics,Maharashtra,598,440,452,487,2407.96,0.11,Sunny,None,2170.72,High
20-12-2025,DMART_032,PRD_0181,Apparel,Karnataka,601,113,197,115,1589.97,0.25,Humid,Summer Special,1267.94,Low
21-12-2025,DMART_045,PRD_0184,Home & Kitchen,Telangana,1670,172,184,221,1479.29,0.09,Humid,Diwali Sale,1475.35,Medium
22-12-2025,DMART_061,PRD_0226,Apparel,Karnataka,1887,265,333,251,272.61,0.31,Humid,None,215.06,High
23-12-2025,DMART_047,PRD_0777,Home & Kitchen,Telangana,237,45,108,43,42.62,0.09,Extreme Heat,None,37.38,Low
24-12-2025,DMART_021,PRD_0790,Electronics,Telangana,801,221,258,215,1860.55,0.36,Rainy,None,1231.12,High
25-12-2025,DMART_080,PRD_0909,Home & Kitchen,Karnataka,919,140,158,151,1472.88,0.34,Humid,None,1052.53,Medium
26-12-2025,DMART_085,PRD_0089,Electronics,Telangana,1561,118,153,156,2790.21,0.14,Extreme Heat,None,2281.99,Medium
27-12-2025,DMART_075,PRD_0688,Personal Care,Tamil Nadu,1427,92,130,141,1908.44,0.15,Rainy,None,1699.72,Medium
28-12-2025,DMART_036,PRD_0530,Groceries,Gujarat,68,68,87,117,3279.74,0.28,Sunny,Republic Day Offer,2624.25,High
29-12-2025,DMART_099,PRD_0371,Personal Care,Telangana,908,265,301,250,702.57,0.04,Humid,Republic Day Offer,647.61,High
30-12-2025,DMART_019,PRD_0972,Groceries,Tamil Nadu,1466,62,134,107,3465.72,0.03,Cloudy,Republic Day Offer,3422.63,Medium
31-12-2025,DMART_020,PRD_0936,Personal Care,Telangana,1910,63,134,46,1056.76,0.05,Extreme Heat,End of Month,1034.22,Medium
01-01-2026,DMART_057,PRD_0913,Personal Care,Tamil Nadu,1334,190,217,239,2255.64,0.22,Sunny,Festive Discount,1923.48,Medium
02-01-2026,DMART_018,PRD_0399,Home & Kitchen,Karnataka,1034,74,136,110,1766.45,0.06,Sunny,Summer Special,1675.65,Medium
03-01-2026,DMART_047,PRD_0106,Groceries,Maharashtra,459,62,153,102,1271.33,0.11,Sunny,None,1130.64,Low
04-01-2026,DMART_049,PRD_0271,Groceries,Andhra Pradesh,1476,138,233,173,504.8,0.26,Extreme Heat,None,363.5,High
05-01-2026,DMART_014,PRD_0975,Personal Care,Telangana,1743,186,212,179,489.22,0.01,Rainy,None,556.58,High
06-01-2026,DMART_015,PRD_0831,Electronics,Andhra Pradesh,533,254,312,240,2496.04,0.07,Cloudy,Diwali Sale,2424.23,High
07-01-2026,DMART_031,PRD_0503,Groceries,Telangana,1377,84,182,117,1334.19,0.37,Rainy,Summer Special,806.62,Medium
08-01-2026,DMART_001,PRD_0679,Personal Care,Karnataka,673,163,198,200,3365.32,0.27,Humid,End of Month,2371.45,High
09-01-2026,DMART_054,PRD_0525,Home & Kitchen,Karnataka,705,322,336,362,1153.26,0.12,Cloudy,Diwali Sale,990.1,High
10-01-2026,DMART_003,PRD_0849,Home & Kitchen,Tamil Nadu,817,198,280,205,3442.66,0.02,Rainy,Republic Day Offer,3347.99,Medium
11-01-2026,DMART_016,PRD_0032,Groceries,Telangana,67,67,120,101,734.87,0.23,Humid,Diwali Sale,621.35,High
12-01-2026,DMART_087,PRD_0393,Personal Care,Karnataka,233,139,172,171,377.79,0.09,Cloudy,Festive Discount,365.01,Low
13-01-2026,DMART_057,PRD_0040,Groceries,Karnataka,454,57,123,80,1107.74,0.38,Extreme Heat,Summer Special,759.14,Low
14-01-2026,DMART_075,PRD_0660,Electronics,Telangana,848,10,26,17,3101.84,0.27,Humid,End of Month,2160.1,Low
15-01-2026,DMART_012,PRD_0218,Groceries,Tamil Nadu,1970,68,97,93,1836.04,0.39,Rainy,Diwali Sale,1123.37,Low
16-01-2026,DMART_074,PRD_0731,Groceries,Tamil Nadu,1204,169,234,197,492.06,0.34,Cloudy,None,334.86,Medium
